Entity,Code,Date,new_vaccinations_smoothed_per_million
Albania,ALB,2021-01-11,22
Albania,ALB,2021-01-12,22
Albania,ALB,2021-01-13,22
Albania,ALB,2021-01-14,23
Albania,ALB,2021-01-15,22
Albania,ALB,2021-01-16,22
Albania,ALB,2021-01-17,20
Albania,ALB,2021-01-18,19
Albania,ALB,2021-01-19,18
Albania,ALB,2021-01-20,16
Albania,ALB,2021-01-21,14
Albania,ALB,2021-01-22,12
Albania,ALB,2021-01-23,9
Albania,ALB,2021-01-24,7
Albania,ALB,2021-01-25,5
Albania,ALB,2021-01-26,3
Albania,ALB,2021-01-27,1
Albania,ALB,2021-02-03,4
Albania,ALB,2021-02-04,8
Albania,ALB,2021-02-05,12
Albania,ALB,2021-02-06,16
Albania,ALB,2021-02-07,21
Albania,ALB,2021-02-08,25
Albania,ALB,2021-02-09,28
Albania,ALB,2021-02-10,28
Albania,ALB,2021-02-11,27
Albania,ALB,2021-02-12,27
Albania,ALB,2021-02-13,26
Albania,ALB,2021-02-14,26
Albania,ALB,2021-02-15,25
Albania,ALB,2021-02-16,25
Albania,ALB,2021-02-17,25
Albania,ALB,2021-02-18,88
Albania,ALB,2021-02-19,141
Albania,ALB,2021-02-20,179
Albania,ALB,2021-02-21,218
Albania,ALB,2021-02-22,257
Albania,ALB,2021-02-23,310
Albania,ALB,2021-02-24,362
Albania,ALB,2021-02-25,352
Albania,ALB,2021-02-26,347
Albania,ALB,2021-02-27,357
Albania,ALB,2021-02-28,366
Albania,ALB,2021-03-01,376
Albania,ALB,2021-03-02,357
Albania,ALB,2021-03-03,337
Algeria,DZA,2021-01-30,1
Algeria,DZA,2021-01-31,43
Algeria,DZA,2021-02-01,57
Algeria,DZA,2021-02-02,64
Algeria,DZA,2021-02-03,69
Algeria,DZA,2021-02-04,71
Algeria,DZA,2021-02-05,73
Algeria,DZA,2021-02-06,85
Algeria,DZA,2021-02-07,85
Algeria,DZA,2021-02-08,85
Algeria,DZA,2021-02-09,85
Algeria,DZA,2021-02-10,85
Algeria,DZA,2021-02-11,85
Algeria,DZA,2021-02-12,85
Algeria,DZA,2021-02-13,85
Algeria,DZA,2021-02-14,85
Algeria,DZA,2021-02-15,85
Algeria,DZA,2021-02-16,85
Algeria,DZA,2021-02-17,85
Algeria,DZA,2021-02-18,85
Algeria,DZA,2021-02-19,85
Andorra,AND,2021-01-26,854
Andorra,AND,2021-01-27,854
Andorra,AND,2021-01-28,854
Andorra,AND,2021-01-29,854
Andorra,AND,2021-01-30,854
Andorra,AND,2021-01-31,854
Andorra,AND,2021-02-01,854
Andorra,AND,2021-02-02,777
Andorra,AND,2021-02-03,712
Andorra,AND,2021-02-04,647
Andorra,AND,2021-02-05,569
Andorra,AND,2021-02-06,505
Andorra,AND,2021-02-07,440
Andorra,AND,2021-02-08,362
Andorra,AND,2021-02-09,362
Andorra,AND,2021-02-10,362
Andorra,AND,2021-02-11,621
Andorra,AND,2021-02-12,880
Andorra,AND,2021-02-13,958
Andorra,AND,2021-02-14,1048
Andorra,AND,2021-02-15,1126
Andorra,AND,2021-02-16,1217
Andorra,AND,2021-02-17,1294
Andorra,AND,2021-02-18,1126
Andorra,AND,2021-02-19,958
Andorra,AND,2021-02-20,919
Andorra,AND,2021-02-21,867
Andorra,AND,2021-02-22,828
Andorra,AND,2021-02-23,777
Andorra,AND,2021-02-24,738
Andorra,AND,2021-02-25,725
Andorra,AND,2021-02-26,712
Anguilla,AIA,2021-02-05,9932
Anguilla,AIA,2021-02-06,9932
Anguilla,AIA,2021-02-07,9932
Anguilla,AIA,2021-02-08,9932
