Entity,Code,Date,people_fully_vaccinated_per_hundred
Alabama,,2021-01-12,0.15
Alabama,,2021-01-13,0.19
Alabama,,2021-01-15,0.27
Alabama,,2021-01-19,0.33
Alabama,,2021-01-20,0.37
Alabama,,2021-01-21,0.43
Alabama,,2021-01-22,0.51
Alabama,,2021-01-23,0.56
Alabama,,2021-01-24,0.61
Alabama,,2021-01-25,0.61
Alabama,,2021-01-26,0.63
Alabama,,2021-01-27,0.68
Alabama,,2021-01-28,0.76
Alabama,,2021-01-29,0.9
Alabama,,2021-01-30,1.1
Alabama,,2021-01-31,1.13
Alabama,,2021-02-01,1.15
Alabama,,2021-02-02,1.2
Alabama,,2021-02-03,1.28
Alabama,,2021-02-04,1.41
Alabama,,2021-02-05,1.56
Alabama,,2021-02-06,1.72
Alabama,,2021-02-07,1.76
Alabama,,2021-02-08,1.8
Alabama,,2021-02-09,1.94
Alabama,,2021-02-10,2.09
Alabama,,2021-02-11,2.26
Alabama,,2021-02-12,2.49
Alabama,,2021-02-13,2.71
Alabama,,2021-02-14,2.8
Alabama,,2021-02-16,3.04
Alabama,,2021-02-17,3.15
Alabama,,2021-02-18,3.37
Alabama,,2021-02-19,3.92
Alabama,,2021-02-20,4.38
Alabama,,2021-02-21,4.48
Alabama,,2021-02-22,4.52
Alabama,,2021-02-23,4.75
Alabama,,2021-02-24,5.04
Alabama,,2021-02-25,5.34
Alabama,,2021-02-26,5.69
Alabama,,2021-02-27,6.13
Alabama,,2021-02-28,6.24
Alabama,,2021-03-01,6.29
Alabama,,2021-03-02,6.57
Alabama,,2021-03-03,6.91
Alabama,,2021-03-04,7.29
Alabama,,2021-03-05,7.64
Alabama,,2021-03-06,8.03
Alaska,,2021-01-12,0.74
Alaska,,2021-01-13,0.84
Alaska,,2021-01-15,1.29
Alaska,,2021-01-19,1.48
Alaska,,2021-01-20,1.54
Alaska,,2021-01-21,1.69
Alaska,,2021-01-22,1.88
Alaska,,2021-01-23,2.08
Alaska,,2021-01-24,2.22
Alaska,,2021-01-25,2.28
Alaska,,2021-01-26,2.3
Alaska,,2021-01-27,2.47
Alaska,,2021-01-28,2.74
Alaska,,2021-01-29,2.95
Alaska,,2021-01-30,3.19
Alaska,,2021-01-31,3.36
Alaska,,2021-02-01,3.48
Alaska,,2021-02-02,3.58
Alaska,,2021-02-03,3.76
Alaska,,2021-02-04,4.12
Alaska,,2021-02-05,4.46
Alaska,,2021-02-06,4.89
Alaska,,2021-02-07,5.4
Alaska,,2021-02-08,5.58
Alaska,,2021-02-09,5.7
Alaska,,2021-02-10,5.95
Alaska,,2021-02-11,6.29
Alaska,,2021-02-12,6.69
Alaska,,2021-02-13,7.16
Alaska,,2021-02-14,7.81
Alaska,,2021-02-16,8.33
Alaska,,2021-02-17,8.54
Alaska,,2021-02-18,8.92
Alaska,,2021-02-19,9.83
Alaska,,2021-02-20,10.75
Alaska,,2021-02-21,11.25
Alaska,,2021-02-22,11.54
Alaska,,2021-02-23,11.62
Alaska,,2021-02-24,11.9
Alaska,,2021-02-25,12.36
Alaska,,2021-02-26,12.63
Alaska,,2021-02-27,13.05
Alaska,,2021-02-28,13.35
Alaska,,2021-03-01,13.67
Alaska,,2021-03-02,13.81
Alaska,,2021-03-03,14.01
Alaska,,2021-03-04,14.24
Alaska,,2021-03-05,14.57
Alaska,,2021-03-06,15.05
American Samoa,ASM,2021-01-12,0.47
American Samoa,ASM,2021-01-13,0.65
American Samoa,ASM,2021-01-15,1.32
American Samoa,ASM,2021-01-19,1.38
American Samoa,ASM,2021-01-20,1.5
American Samoa,ASM,2021-01-21,1.67
American Samoa,ASM,2021-01-22,1.69
American Samoa,ASM,2021-01-23,1.7
American Samoa,ASM,2021-01-24,1.7
American Samoa,ASM,2021-01-25,1.7
American Samoa,ASM,2021-01-26,1.7
American Samoa,ASM,2021-01-27,1.71
American Samoa,ASM,2021-01-28,1.71
American Samoa,ASM,2021-01-29,1.79
American Samoa,ASM,2021-01-30,1.79
American Samoa,ASM,2021-01-31,1.79
American Samoa,ASM,2021-02-01,1.88
American Samoa,ASM,2021-02-02,1.88
American Samoa,ASM,2021-02-03,2.34
American Samoa,ASM,2021-02-04,2.68
American Samoa,ASM,2021-02-05,4.04
American Samoa,ASM,2021-02-06,4.45
American Samoa,ASM,2021-02-07,4.45
American Samoa,ASM,2021-02-08,4.45
American Samoa,ASM,2021-02-09,5.18
American Samoa,ASM,2021-02-10,6.27
American Samoa,ASM,2021-02-11,6.62
American Samoa,ASM,2021-02-12,8.92
American Samoa,ASM,2021-02-13,9.53
American Samoa,ASM,2021-02-14,9.53
American Samoa,ASM,2021-02-16,10.52
American Samoa,ASM,2021-02-17,10.75
American Samoa,ASM,2021-02-18,10.75
American Samoa,ASM,2021-02-19,10.75
American Samoa,ASM,2021-02-20,12.38
American Samoa,ASM,2021-02-21,14.03
American Samoa,ASM,2021-02-22,14.04
American Samoa,ASM,2021-02-23,14.04
American Samoa,ASM,2021-02-24,14.33
American Samoa,ASM,2021-02-25,14.33
American Samoa,ASM,2021-02-26,14.43
American Samoa,ASM,2021-02-27,14.43
American Samoa,ASM,2021-02-28,14.43
American Samoa,ASM,2021-03-01,14.43
American Samoa,ASM,2021-03-02,14.54
American Samoa,ASM,2021-03-03,14.54
American Samoa,ASM,2021-03-04,14.74
American Samoa,ASM,2021-03-05,14.74
American Samoa,ASM,2021-03-06,14.74
Arizona,,2021-01-12,0.12
Arizona,,2021-01-13,0.17
Arizona,,2021-01-15,0.29
Arizona,,2021-01-19,0.42
Arizona,,2021-01-20,0.48
Arizona,,2021-01-21,0.57
Arizona,,2021-01-22,0.67
Arizona,,2021-01-23,0.76
Arizona,,2021-01-24,0.8
Arizona,,2021-01-25,0.86
Arizona,,2021-01-26,0.89
Arizona,,2021-01-27,0.95
Arizona,,2021-01-28,1.02
Arizona,,2021-01-29,1.11
Arizona,,2021-01-30,1.2
Arizona,,2021-01-31,1.27
Arizona,,2021-02-01,1.31
Arizona,,2021-02-02,1.33
Arizona,,2021-02-03,1.4
Arizona,,2021-02-04,1.53
Arizona,,2021-02-05,1.67
Arizona,,2021-02-06,1.87
Arizona,,2021-02-07,2.08
Arizona,,2021-02-08,2.22
Arizona,,2021-02-09,2.29
Arizona,,2021-02-10,2.44
Arizona,,2021-02-11,2.64
Arizona,,2021-02-12,2.86
Arizona,,2021-02-13,3.11
Arizona,,2021-02-14,3.37
Arizona,,2021-02-16,3.63
Arizona,,2021-02-17,3.68
Arizona,,2021-02-18,3.9
Arizona,,2021-02-19,4.61
Arizona,,2021-02-20,4.89
Arizona,,2021-02-21,5.17
Arizona,,2021-02-22,5.39
Arizona,,2021-02-23,5.47
Arizona,,2021-02-24,5.67
Arizona,,2021-02-25,6.02
Arizona,,2021-02-26,6.44
Arizona,,2021-02-27,6.84
Arizona,,2021-02-28,7.35
Arizona,,2021-03-01,7.78
Arizona,,2021-03-02,8.07
Arizona,,2021-03-03,8.43
Arizona,,2021-03-04,8.79
Arizona,,2021-03-05,9.23
Arizona,,2021-03-06,9.27
Arkansas,,2021-01-12,0
Arkansas,,2021-01-13,0.43
Arkansas,,2021-01-15,0.62
Arkansas,,2021-01-19,0.72
Arkansas,,2021-01-20,0.88
Arkansas,,2021-01-21,0.88
Arkansas,,2021-01-22,1.05
Arkansas,,2021-01-23,1.05
Arkansas,,2021-01-24,1.08
Arkansas,,2021-01-25,1.1
Arkansas,,2021-01-26,1.23
Arkansas,,2021-01-27,1.36
Arkansas,,2021-01-28,1.36
Arkansas,,2021-01-29,1.52
Arkansas,,2021-01-30,1.73
Arkansas,,2021-01-31,1.86
Arkansas,,2021-02-01,1.94
Arkansas,,2021-02-02,1.98
Arkansas,,2021-02-03,2.1
Arkansas,,2021-02-04,2.28
Arkansas,,2021-02-05,2.45
Arkansas,,2021-02-06,2.7
Arkansas,,2021-02-07,2.99
Arkansas,,2021-02-08,3.12
Arkansas,,2021-02-09,3.16
Arkansas,,2021-02-10,3.44
Arkansas,,2021-02-11,3.67
Arkansas,,2021-02-12,3.93
Arkansas,,2021-02-13,4.11
Arkansas,,2021-02-14,4.33
Arkansas,,2021-02-16,4.52
Arkansas,,2021-02-17,4.58
Arkansas,,2021-02-18,4.66
Arkansas,,2021-02-19,5
Arkansas,,2021-02-20,5.06
Arkansas,,2021-02-21,5.22
Arkansas,,2021-02-22,5.35
Arkansas,,2021-02-23,5.43
Arkansas,,2021-02-24,5.72
Arkansas,,2021-02-25,6.11
Arkansas,,2021-02-26,6.64
Arkansas,,2021-02-27,7.09
Arkansas,,2021-02-28,7.52
Arkansas,,2021-03-01,7.72
Arkansas,,2021-03-02,7.82
Arkansas,,2021-03-03,8.03
Arkansas,,2021-03-04,8.26
Arkansas,,2021-03-05,8.5
Arkansas,,2021-03-06,8.76
California,,2021-01-12,0.25
California,,2021-01-13,0.34
California,,2021-01-15,0.52
California,,2021-01-19,0.66
California,,2021-01-20,0.69
California,,2021-01-21,0.74
California,,2021-01-22,0.82
California,,2021-01-23,0.86
California,,2021-01-24,0.9
California,,2021-01-25,0.94
California,,2021-01-26,0.98
California,,2021-01-27,1.06
California,,2021-01-28,1.16
California,,2021-01-29,1.23
California,,2021-01-30,1.33
California,,2021-01-31,1.42
California,,2021-02-01,1.47
California,,2021-02-02,1.5
California,,2021-02-03,1.55
California,,2021-02-04,1.58
California,,2021-02-05,1.71
California,,2021-02-06,1.84
California,,2021-02-07,2.05
California,,2021-02-08,2.15
California,,2021-02-09,2.22
California,,2021-02-10,2.35
California,,2021-02-11,2.51
California,,2021-02-12,2.74
California,,2021-02-13,2.98
California,,2021-02-14,3.26
California,,2021-02-16,3.68
California,,2021-02-17,3.82
California,,2021-02-18,4
California,,2021-02-19,4.44
California,,2021-02-20,4.72
California,,2021-02-21,5
California,,2021-02-22,5.18
California,,2021-02-23,5.33
California,,2021-02-24,5.5
California,,2021-02-25,5.73
California,,2021-02-26,6.03
California,,2021-02-27,6.34
California,,2021-02-28,6.61
California,,2021-03-01,6.95
California,,2021-03-02,7.35
California,,2021-03-03,7.59
California,,2021-03-04,7.71
California,,2021-03-05,7.92
California,,2021-03-06,8.26
Colorado,,2021-01-12,0.63
Colorado,,2021-01-13,0.72
Colorado,,2021-01-15,0.82
Colorado,,2021-01-19,0.87
Colorado,,2021-01-20,0.89
Colorado,,2021-01-21,0.95
Colorado,,2021-01-22,1.08
Colorado,,2021-01-23,1.08
Colorado,,2021-01-24,1.34
Colorado,,2021-01-25,1.4
Colorado,,2021-01-26,1.44
Colorado,,2021-01-27,1.57
Colorado,,2021-01-28,1.71
Colorado,,2021-01-29,1.88
Colorado,,2021-01-30,2.06
Colorado,,2021-01-31,2.17
Colorado,,2021-02-01,2.27
Colorado,,2021-02-02,2.31
Colorado,,2021-02-03,2.44
Colorado,,2021-02-04,2.6
Colorado,,2021-02-05,2.82
Colorado,,2021-02-06,3.11
Colorado,,2021-02-07,3.43
Colorado,,2021-02-08,3.61
Colorado,,2021-02-09,3.67
Colorado,,2021-02-10,3.92
Colorado,,2021-02-11,4.16
Colorado,,2021-02-12,4.41
Colorado,,2021-02-13,4.72
Colorado,,2021-02-14,5.05
Colorado,,2021-02-16,5.37
Colorado,,2021-02-17,5.46
Colorado,,2021-02-18,5.6
Colorado,,2021-02-19,6
Colorado,,2021-02-20,6.26
Colorado,,2021-02-21,6.57
Colorado,,2021-02-22,6.82
Colorado,,2021-02-23,6.84
Colorado,,2021-02-24,7.19
Colorado,,2021-02-25,7.41
Colorado,,2021-02-26,7.63
Colorado,,2021-02-27,7.65
Colorado,,2021-02-28,8.02
Colorado,,2021-03-01,8.33
Colorado,,2021-03-02,8.42
Colorado,,2021-03-03,8.67
Colorado,,2021-03-04,8.91
Colorado,,2021-03-05,9.14
Colorado,,2021-03-06,9.54
Connecticut,,2021-01-12,0.12
Connecticut,,2021-01-13,0.15
Connecticut,,2021-01-15,0.48
Connecticut,,2021-01-19,0.65
Connecticut,,2021-01-20,0.7
Connecticut,,2021-01-21,0.8
Connecticut,,2021-01-22,0.93
Connecticut,,2021-01-23,1.04
Connecticut,,2021-01-24,1.14
Connecticut,,2021-01-25,1.19
Connecticut,,2021-01-26,1.27
Connecticut,,2021-01-27,1.46
Connecticut,,2021-01-28,1.67
Connecticut,,2021-01-29,1.9
Connecticut,,2021-01-30,2.07
Connecticut,,2021-01-31,2.23
Connecticut,,2021-02-01,2.35
Connecticut,,2021-02-02,2.43
Connecticut,,2021-02-03,2.54
Connecticut,,2021-02-04,2.74
Connecticut,,2021-02-05,2.98
Connecticut,,2021-02-06,3.24
Connecticut,,2021-02-07,3.45
Connecticut,,2021-02-08,3.57
Connecticut,,2021-02-09,3.74
Connecticut,,2021-02-10,4.01
Connecticut,,2021-02-11,4.34
Connecticut,,2021-02-12,4.71
Connecticut,,2021-02-13,5.14
Connecticut,,2021-02-14,5.38
Connecticut,,2021-02-16,5.8
Connecticut,,2021-02-17,6.14
Connecticut,,2021-02-18,6.5
Connecticut,,2021-02-19,7.12
Connecticut,,2021-02-20,7.44
Connecticut,,2021-02-21,7.6
Connecticut,,2021-02-22,7.77
Connecticut,,2021-02-23,7.85
Connecticut,,2021-02-24,7.94
Connecticut,,2021-02-25,8.02
Connecticut,,2021-02-26,8.15
Connecticut,,2021-02-27,8.29
Connecticut,,2021-02-28,8.42
Connecticut,,2021-03-01,8.56
Connecticut,,2021-03-02,8.61
Connecticut,,2021-03-03,8.71
Connecticut,,2021-03-04,8.8
Connecticut,,2021-03-05,8.89
Connecticut,,2021-03-06,8.98
Delaware,,2021-01-12,0.29
Delaware,,2021-01-13,0.42
Delaware,,2021-01-15,0.55
Delaware,,2021-01-19,0.7
Delaware,,2021-01-20,0.71
Delaware,,2021-01-21,0.76
Delaware,,2021-01-22,0.91
Delaware,,2021-01-23,1.07
Delaware,,2021-01-24,1.18
Delaware,,2021-01-25,1.2
Delaware,,2021-01-26,1.2
Delaware,,2021-01-27,1.27
Delaware,,2021-01-28,1.35
Delaware,,2021-01-29,1.46
Delaware,,2021-01-30,1.54
Delaware,,2021-01-31,1.68
Delaware,,2021-02-01,1.81
Delaware,,2021-02-02,1.85
Delaware,,2021-02-03,1.91
Delaware,,2021-02-04,2.09
Delaware,,2021-02-05,2.18
Delaware,,2021-02-06,2.34
Delaware,,2021-02-07,2.49
Delaware,,2021-02-08,2.59
Delaware,,2021-02-09,2.61
Delaware,,2021-02-10,2.68
Delaware,,2021-02-11,2.76
Delaware,,2021-02-12,2.85
Delaware,,2021-02-13,3.02
Delaware,,2021-02-14,3.19
Delaware,,2021-02-16,3.49
Delaware,,2021-02-17,3.66
Delaware,,2021-02-18,3.85
Delaware,,2021-02-19,4.48
Delaware,,2021-02-20,4.78
Delaware,,2021-02-21,4.81
Delaware,,2021-02-22,4.96
Delaware,,2021-02-23,5.19
Delaware,,2021-02-24,5.44
Delaware,,2021-02-25,5.83
Delaware,,2021-02-26,6.37
Delaware,,2021-02-27,6.97
Delaware,,2021-02-28,7.34
Delaware,,2021-03-01,7.8
Delaware,,2021-03-02,7.8
Delaware,,2021-03-03,8.6
Delaware,,2021-03-04,8.98
Delaware,,2021-03-05,9.45
Delaware,,2021-03-06,9.9
District of Columbia,,2021-01-13,0.18
District of Columbia,,2021-01-15,1.17
District of Columbia,,2021-01-19,1.44
District of Columbia,,2021-01-20,1.5
District of Columbia,,2021-01-21,1.66
District of Columbia,,2021-01-22,1.71
District of Columbia,,2021-01-23,1.79
District of Columbia,,2021-01-24,1.85
District of Columbia,,2021-01-25,1.88
District of Columbia,,2021-01-26,1.88
District of Columbia,,2021-01-27,2.04
District of Columbia,,2021-01-28,2.15
District of Columbia,,2021-01-29,2.28
District of Columbia,,2021-01-30,2.41
District of Columbia,,2021-01-31,2.65
District of Columbia,,2021-02-01,2.72
District of Columbia,,2021-02-02,2.72
District of Columbia,,2021-02-03,2.8
District of Columbia,,2021-02-04,3.02
District of Columbia,,2021-02-05,3.22
District of Columbia,,2021-02-06,3.41
District of Columbia,,2021-02-07,3.7
District of Columbia,,2021-02-08,3.82
District of Columbia,,2021-02-09,3.82
District of Columbia,,2021-02-10,3.82
District of Columbia,,2021-02-11,4.5
District of Columbia,,2021-02-12,4.7
District of Columbia,,2021-02-13,4.87
District of Columbia,,2021-02-14,5.16
District of Columbia,,2021-02-16,5.54
District of Columbia,,2021-02-17,5.66
District of Columbia,,2021-02-18,5.85
District of Columbia,,2021-02-19,7.1
District of Columbia,,2021-02-20,7.31
District of Columbia,,2021-02-21,7.54
District of Columbia,,2021-02-22,7.68
District of Columbia,,2021-02-23,7.85
