Entity,Code,Date,share_doses_used
Alabama,,2021-01-12,0.207
Alabama,,2021-01-13,0.222
Alabama,,2021-01-14,0.212
Alabama,,2021-01-15,0.226
Alabama,,2021-01-19,0.294
Alabama,,2021-01-20,0.288
Alabama,,2021-01-21,0.336
Alabama,,2021-01-22,0.384
Alabama,,2021-01-23,0.425
Alabama,,2021-01-24,0.468
Alabama,,2021-01-25,0.481
Alabama,,2021-01-26,0.448
Alabama,,2021-01-27,0.42
Alabama,,2021-01-28,0.426
Alabama,,2021-01-29,0.456
Alabama,,2021-01-30,0.519
Alabama,,2021-01-31,0.537
Alabama,,2021-02-01,0.543
Alabama,,2021-02-02,0.546
Alabama,,2021-02-03,0.508
Alabama,,2021-02-04,0.511
Alabama,,2021-02-05,0.538
Alabama,,2021-02-06,0.566
Alabama,,2021-02-07,0.575
Alabama,,2021-02-08,0.582
Alabama,,2021-02-09,0.596
Alabama,,2021-02-10,0.599
Alabama,,2021-02-11,0.596
Alabama,,2021-02-12,0.61
Alabama,,2021-02-13,0.624
Alabama,,2021-02-14,0.634
Alabama,,2021-02-16,0.627
Alabama,,2021-02-17,0.63
Alabama,,2021-02-18,0.651
Alabama,,2021-02-19,0.686
Alabama,,2021-02-20,0.72
Alabama,,2021-02-21,0.729
Alabama,,2021-02-22,0.733
Alabama,,2021-02-23,0.752
Alabama,,2021-02-24,0.737
Alabama,,2021-02-25,0.739
Alabama,,2021-02-26,0.648
Alabama,,2021-02-27,0.664
Alabama,,2021-02-28,0.672
Alabama,,2021-03-01,0.676
Alabama,,2021-03-02,0.665
Alabama,,2021-03-03,0.681
Alabama,,2021-03-04,0.674
Alabama,,2021-03-05,0.684
Alabama,,2021-03-06,0.675
Alaska,,2021-01-12,0.253
Alaska,,2021-01-13,0.259
Alaska,,2021-01-14,0.283
Alaska,,2021-01-15,0.326
Alaska,,2021-01-19,0.441
Alaska,,2021-01-20,0.454
Alaska,,2021-01-21,0.466
Alaska,,2021-01-22,0.522
Alaska,,2021-01-23,0.567
Alaska,,2021-01-24,0.605
Alaska,,2021-01-25,0.623
Alaska,,2021-01-26,0.602
Alaska,,2021-01-27,0.596
Alaska,,2021-01-28,0.594
Alaska,,2021-01-29,0.574
Alaska,,2021-01-30,0.597
Alaska,,2021-01-31,0.619
Alaska,,2021-02-01,0.632
Alaska,,2021-02-02,0.627
Alaska,,2021-02-03,0.547
Alaska,,2021-02-04,0.541
Alaska,,2021-02-05,0.545
Alaska,,2021-02-06,0.56
Alaska,,2021-02-07,0.588
Alaska,,2021-02-08,0.607
Alaska,,2021-02-09,0.595
Alaska,,2021-02-10,0.6
Alaska,,2021-02-11,0.6
Alaska,,2021-02-12,0.617
Alaska,,2021-02-13,0.645
Alaska,,2021-02-14,0.677
Alaska,,2021-02-16,0.703
Alaska,,2021-02-17,0.713
Alaska,,2021-02-18,0.733
Alaska,,2021-02-19,0.721
Alaska,,2021-02-20,0.758
Alaska,,2021-02-21,0.784
Alaska,,2021-02-22,0.794
Alaska,,2021-02-23,0.787
Alaska,,2021-02-24,0.772
Alaska,,2021-02-25,0.782
Alaska,,2021-02-26,0.765
Alaska,,2021-02-27,0.758
Alaska,,2021-02-28,0.773
Alaska,,2021-03-01,0.784
Alaska,,2021-03-02,0.724
Alaska,,2021-03-03,0.685
Alaska,,2021-03-04,0.677
Alaska,,2021-03-05,0.668
Alaska,,2021-03-06,0.676
American Samoa,ASM,2021-01-12,0.199
American Samoa,ASM,2021-01-13,0.242
American Samoa,ASM,2021-01-14,0.279
American Samoa,ASM,2021-01-15,0.21
American Samoa,ASM,2021-01-19,0.258
American Samoa,ASM,2021-01-20,0.288
American Samoa,ASM,2021-01-21,0.307
American Samoa,ASM,2021-01-22,0.356
American Samoa,ASM,2021-01-23,0.37
American Samoa,ASM,2021-01-24,0.436
American Samoa,ASM,2021-01-25,0.436
American Samoa,ASM,2021-01-26,0.451
American Samoa,ASM,2021-01-27,0.492
American Samoa,ASM,2021-01-28,0.492
American Samoa,ASM,2021-01-29,0.538
American Samoa,ASM,2021-01-30,0.538
American Samoa,ASM,2021-01-31,0.538
American Samoa,ASM,2021-02-01,0.583
American Samoa,ASM,2021-02-02,0.583
American Samoa,ASM,2021-02-03,0.6
American Samoa,ASM,2021-02-04,0.382
American Samoa,ASM,2021-02-05,0.408
American Samoa,ASM,2021-02-06,0.416
American Samoa,ASM,2021-02-07,0.416
American Samoa,ASM,2021-02-08,0.416
American Samoa,ASM,2021-02-09,0.431
American Samoa,ASM,2021-02-10,0.452
American Samoa,ASM,2021-02-11,0.459
American Samoa,ASM,2021-02-12,0.51
American Samoa,ASM,2021-02-13,0.522
American Samoa,ASM,2021-02-14,0.522
American Samoa,ASM,2021-02-16,0.547
American Samoa,ASM,2021-02-17,0.552
American Samoa,ASM,2021-02-18,0.552
American Samoa,ASM,2021-02-19,0.552
American Samoa,ASM,2021-02-20,0.602
American Samoa,ASM,2021-02-21,0.638
American Samoa,ASM,2021-02-22,0.639
American Samoa,ASM,2021-02-23,0.639
American Samoa,ASM,2021-02-24,0.67
American Samoa,ASM,2021-02-25,0.67
American Samoa,ASM,2021-02-26,0.691
American Samoa,ASM,2021-02-27,0.691
American Samoa,ASM,2021-02-28,0.691
American Samoa,ASM,2021-03-01,0.691
American Samoa,ASM,2021-03-02,0.716
American Samoa,ASM,2021-03-03,0.716
American Samoa,ASM,2021-03-04,0.557
American Samoa,ASM,2021-03-05,0.5
American Samoa,ASM,2021-03-06,0.5
Arizona,,2021-01-12,0.251
Arizona,,2021-01-13,0.272
Arizona,,2021-01-14,0.304
Arizona,,2021-01-15,0.345
Arizona,,2021-01-19,0.466
Arizona,,2021-01-20,0.375
Arizona,,2021-01-21,0.381
Arizona,,2021-01-22,0.401
Arizona,,2021-01-23,0.435
Arizona,,2021-01-24,0.471
Arizona,,2021-01-25,0.499
Arizona,,2021-01-26,0.515
Arizona,,2021-01-27,0.463
Arizona,,2021-01-28,0.482
Arizona,,2021-01-29,0.515
Arizona,,2021-01-30,0.55
Arizona,,2021-01-31,0.586
Arizona,,2021-02-01,0.612
Arizona,,2021-02-02,0.584
Arizona,,2021-02-03,0.555
Arizona,,2021-02-04,0.579
Arizona,,2021-02-05,0.607
Arizona,,2021-02-06,0.647
Arizona,,2021-02-07,0.682
Arizona,,2021-02-08,0.709
Arizona,,2021-02-09,0.682
Arizona,,2021-02-10,0.655
Arizona,,2021-02-11,0.677
Arizona,,2021-02-12,0.711
Arizona,,2021-02-13,0.747
Arizona,,2021-02-14,0.782
Arizona,,2021-02-16,0.827
Arizona,,2021-02-17,0.834
Arizona,,2021-02-18,0.861
Arizona,,2021-02-19,0.82
Arizona,,2021-02-20,0.844
Arizona,,2021-02-21,0.871
Arizona,,2021-02-22,0.892
Arizona,,2021-02-23,0.869
Arizona,,2021-02-24,0.787
Arizona,,2021-02-25,0.779
Arizona,,2021-02-26,0.78
Arizona,,2021-02-27,0.805
Arizona,,2021-02-28,0.834
Arizona,,2021-03-01,0.861
Arizona,,2021-03-02,0.842
Arizona,,2021-03-03,0.807
Arizona,,2021-03-04,0.807
Arizona,,2021-03-05,0.785
Arizona,,2021-03-06,0.779
