Entity,Code,Date,total_vaccinations_per_hundred
Alabama,,2021-01-12,1.59
Alabama,,2021-01-13,1.71
Alabama,,2021-01-14,1.88
Alabama,,2021-01-15,2.05
Alabama,,2021-01-19,2.67
Alabama,,2021-01-20,2.84
Alabama,,2021-01-21,3.38
Alabama,,2021-01-22,4.06
Alabama,,2021-01-23,4.52
Alabama,,2021-01-24,4.97
Alabama,,2021-01-25,5.11
Alabama,,2021-01-26,5.2
Alabama,,2021-01-27,5.43
Alabama,,2021-01-28,5.69
Alabama,,2021-01-29,6.14
Alabama,,2021-01-30,6.98
Alabama,,2021-01-31,7.22
Alabama,,2021-02-01,7.31
Alabama,,2021-02-02,7.58
Alabama,,2021-02-03,7.92
Alabama,,2021-02-04,8.33
Alabama,,2021-02-05,8.78
Alabama,,2021-02-06,9.28
Alabama,,2021-02-07,9.43
Alabama,,2021-02-08,9.54
Alabama,,2021-02-09,10.01
Alabama,,2021-02-10,10.52
Alabama,,2021-02-11,11.08
Alabama,,2021-02-12,11.65
Alabama,,2021-02-13,12.26
Alabama,,2021-02-14,12.49
Alabama,,2021-02-16,12.98
Alabama,,2021-02-17,13.26
Alabama,,2021-02-18,13.71
Alabama,,2021-02-19,15.08
Alabama,,2021-02-20,15.85
Alabama,,2021-02-21,16.08
Alabama,,2021-02-22,16.19
Alabama,,2021-02-23,16.62
Alabama,,2021-02-24,17.13
Alabama,,2021-02-25,17.64
Alabama,,2021-02-26,18.23
Alabama,,2021-02-27,18.99
Alabama,,2021-02-28,19.22
Alabama,,2021-03-01,19.34
Alabama,,2021-03-02,19.83
Alabama,,2021-03-03,20.4
Alabama,,2021-03-04,21.05
Alabama,,2021-03-05,21.71
Alabama,,2021-03-06,22.43
Alaska,,2021-01-12,4.9
Alaska,,2021-01-13,5.29
Alaska,,2021-01-14,5.82
Alaska,,2021-01-15,6.7
Alaska,,2021-01-19,9.07
Alaska,,2021-01-20,9.34
Alaska,,2021-01-21,9.83
Alaska,,2021-01-22,11.09
Alaska,,2021-01-23,12.08
Alaska,,2021-01-24,12.88
Alaska,,2021-01-25,13.26
Alaska,,2021-01-26,13.42
Alaska,,2021-01-27,13.89
Alaska,,2021-01-28,14.47
Alaska,,2021-01-29,15.09
Alaska,,2021-01-30,15.76
Alaska,,2021-01-31,16.35
Alaska,,2021-02-01,16.68
Alaska,,2021-02-02,16.87
Alaska,,2021-02-03,17.19
Alaska,,2021-02-04,17.76
Alaska,,2021-02-05,18.32
Alaska,,2021-02-06,19.02
Alaska,,2021-02-07,19.97
Alaska,,2021-02-08,20.63
Alaska,,2021-02-09,20.9
Alaska,,2021-02-10,21.36
Alaska,,2021-02-11,22.18
Alaska,,2021-02-12,22.89
Alaska,,2021-02-13,23.94
Alaska,,2021-02-14,25.13
Alaska,,2021-02-16,26.11
Alaska,,2021-02-17,26.47
Alaska,,2021-02-18,27.22
Alaska,,2021-02-19,29.56
Alaska,,2021-02-20,31.08
Alaska,,2021-02-21,32.14
Alaska,,2021-02-22,32.57
Alaska,,2021-02-23,32.8
Alaska,,2021-02-24,33.31
Alaska,,2021-02-25,34.11
Alaska,,2021-02-26,34.77
Alaska,,2021-02-27,35.48
Alaska,,2021-02-28,36.19
Alaska,,2021-03-01,36.69
Alaska,,2021-03-02,36.9
Alaska,,2021-03-03,37.37
Alaska,,2021-03-04,37.85
Alaska,,2021-03-05,38.48
Alaska,,2021-03-06,39.45
American Samoa,ASM,2021-01-12,3.81
American Samoa,ASM,2021-01-13,4.63
American Samoa,ASM,2021-01-14,5.34
American Samoa,ASM,2021-01-15,6.97
American Samoa,ASM,2021-01-19,8.54
American Samoa,ASM,2021-01-20,9.54
American Samoa,ASM,2021-01-21,10.17
American Samoa,ASM,2021-01-22,11.8
American Samoa,ASM,2021-01-23,12.27
American Samoa,ASM,2021-01-24,14.45
American Samoa,ASM,2021-01-25,14.45
American Samoa,ASM,2021-01-26,14.93
American Samoa,ASM,2021-01-27,16.31
American Samoa,ASM,2021-01-28,16.31
American Samoa,ASM,2021-01-29,17.82
American Samoa,ASM,2021-01-30,17.82
American Samoa,ASM,2021-01-31,17.82
American Samoa,ASM,2021-02-01,19.32
American Samoa,ASM,2021-02-02,19.32
American Samoa,ASM,2021-02-03,19.87
American Samoa,ASM,2021-02-04,20.21
