Entity,Code,Date,total_vaccinations
Alabama,,2021-01-12,78134
Alabama,,2021-01-13,84040
Alabama,,2021-01-14,92300
Alabama,,2021-01-15,100567
Alabama,,2021-01-19,130795
Alabama,,2021-01-20,139200
Alabama,,2021-01-21,165919
Alabama,,2021-01-22,199314
Alabama,,2021-01-23,221540
Alabama,,2021-01-24,243737
Alabama,,2021-01-25,250612
Alabama,,2021-01-26,254959
Alabama,,2021-01-27,266444
Alabama,,2021-01-28,278993
Alabama,,2021-01-29,300915
Alabama,,2021-01-30,342436
Alabama,,2021-01-31,353974
Alabama,,2021-02-01,358280
Alabama,,2021-02-02,371882
Alabama,,2021-02-03,388339
Alabama,,2021-02-04,408428
Alabama,,2021-02-05,430597
Alabama,,2021-02-06,455173
Alabama,,2021-02-07,462332
Alabama,,2021-02-08,467636
Alabama,,2021-02-09,490969
Alabama,,2021-02-10,515802
Alabama,,2021-02-11,543237
Alabama,,2021-02-12,571115
Alabama,,2021-02-13,601159
Alabama,,2021-02-14,612254
Alabama,,2021-02-16,636682
Alabama,,2021-02-17,650020
Alabama,,2021-02-18,672038
Alabama,,2021-02-19,739132
Alabama,,2021-02-20,776936
Alabama,,2021-02-21,788613
Alabama,,2021-02-22,793614
Alabama,,2021-02-23,815108
Alabama,,2021-02-24,839703
Alabama,,2021-02-25,864757
Alabama,,2021-02-26,893859
Alabama,,2021-02-27,931090
Alabama,,2021-02-28,942502
Alabama,,2021-03-01,948393
Alabama,,2021-03-02,972161
Alabama,,2021-03-03,1000031
Alabama,,2021-03-04,1032171
Alabama,,2021-03-05,1064578
Alabama,,2021-03-06,1099697
Alabama,,2021-03-07,1110132
Alabama,,2021-03-08,1116676
Alabama,,2021-03-09,1140984
Alabama,,2021-03-10,1173820
Alabama,,2021-03-11,1209802
Alaska,,2021-01-12,35838
Alaska,,2021-01-13,38680
Alaska,,2021-01-14,42596
Alaska,,2021-01-15,49039
Alaska,,2021-01-19,66331
Alaska,,2021-01-20,68293
Alaska,,2021-01-21,71907
Alaska,,2021-01-22,81096
Alaska,,2021-01-23,88344
Alaska,,2021-01-24,94257
Alaska,,2021-01-25,97031
Alaska,,2021-01-26,98149
