Entity,Code,Date,total_distributed
Alabama,,2021-01-12,377025
Alabama,,2021-01-13,378975
Alabama,,2021-01-14,435350
Alabama,,2021-01-15,444650
Alabama,,2021-01-19,444650
Alabama,,2021-01-20,483275
Alabama,,2021-01-21,493125
Alabama,,2021-01-22,519525
Alabama,,2021-01-23,521225
Alabama,,2021-01-24,521225
Alabama,,2021-01-25,521225
Alabama,,2021-01-26,569000
Alabama,,2021-01-27,634000
Alabama,,2021-01-28,655275
Alabama,,2021-01-29,659400
Alabama,,2021-01-30,659400
Alabama,,2021-01-31,659400
Alabama,,2021-02-01,659400
Alabama,,2021-02-02,680550
Alabama,,2021-02-03,765150
Alabama,,2021-02-04,799675
Alabama,,2021-02-05,799875
Alabama,,2021-02-06,804100
Alabama,,2021-02-07,804100
Alabama,,2021-02-08,804100
Alabama,,2021-02-09,823600
Alabama,,2021-02-10,861175
Alabama,,2021-02-11,911875
Alabama,,2021-02-12,936200
Alabama,,2021-02-13,963600
Alabama,,2021-02-14,965550
Alabama,,2021-02-16,1015775
Alabama,,2021-02-17,1032175
Alabama,,2021-02-18,1032175
Alabama,,2021-02-19,1077600
Alabama,,2021-02-20,1078800
Alabama,,2021-02-21,1082100
Alabama,,2021-02-22,1082100
Alabama,,2021-02-23,1084440
Alabama,,2021-02-24,1138650
Alabama,,2021-02-25,1170120
Alabama,,2021-02-26,1380380
Alabama,,2021-02-27,1402180
Alabama,,2021-02-28,1402280
Alabama,,2021-03-01,1402280
Alabama,,2021-03-02,1461320
Alabama,,2021-03-03,1469100
Alabama,,2021-03-04,1530470
Alaska,,2021-01-12,141600
Alaska,,2021-01-13,149475
Alaska,,2021-01-14,150450
Alaska,,2021-01-15,150450
Alaska,,2021-01-19,150450
Alaska,,2021-01-20,150350
Alaska,,2021-01-21,154325
Alaska,,2021-01-22,155500
Alaska,,2021-01-23,155700
Alaska,,2021-01-24,155700
Alaska,,2021-01-25,155700
Alaska,,2021-01-26,162925
Alaska,,2021-01-27,170575
Alaska,,2021-01-28,178075
Alaska,,2021-01-29,192350
Alaska,,2021-01-30,193150
Alaska,,2021-01-31,193150
Alaska,,2021-02-01,193150
Alaska,,2021-02-02,196975
Alaska,,2021-02-03,229975
Alaska,,2021-02-04,240325
Alaska,,2021-02-05,245700
Alaska,,2021-02-06,248500
Alaska,,2021-02-07,248500
Alaska,,2021-02-08,248500
Alaska,,2021-02-09,256900
Alaska,,2021-02-10,260300
Alaska,,2021-02-11,270250
Alaska,,2021-02-12,271350
Alaska,,2021-02-13,271550
Alaska,,2021-02-14,271550
Alaska,,2021-02-16,271550
Alaska,,2021-02-17,271550
Alaska,,2021-02-18,271550
Alaska,,2021-02-19,299935
Alaska,,2021-02-20,299935
Alaska,,2021-02-21,299935
Alaska,,2021-02-22,299935
Alaska,,2021-02-23,304875
Alaska,,2021-02-24,315765
Alaska,,2021-02-25,319265
Alaska,,2021-02-26,332415
Alaska,,2021-02-27,342535
Alaska,,2021-02-28,342535
Alaska,,2021-03-01,342535
Alaska,,2021-03-02,372725
Alaska,,2021-03-03,399225
Alaska,,2021-03-04,409125
American Samoa,ASM,2021-01-12,10650
American Samoa,ASM,2021-01-13,10650
American Samoa,ASM,2021-01-14,10650
American Samoa,ASM,2021-01-15,18450
American Samoa,ASM,2021-01-19,18450
American Samoa,ASM,2021-01-20,18450
American Samoa,ASM,2021-01-21,18450
American Samoa,ASM,2021-01-22,18450
American Samoa,ASM,2021-01-23,18450
American Samoa,ASM,2021-01-24,18450
American Samoa,ASM,2021-01-25,18450
American Samoa,ASM,2021-01-26,18450
American Samoa,ASM,2021-01-27,18450
American Samoa,ASM,2021-01-28,18450
American Samoa,ASM,2021-01-29,18450
American Samoa,ASM,2021-01-30,18450
American Samoa,ASM,2021-01-31,18450
American Samoa,ASM,2021-02-01,18450
American Samoa,ASM,2021-02-02,18450
American Samoa,ASM,2021-02-03,18450
American Samoa,ASM,2021-02-04,29450
American Samoa,ASM,2021-02-05,29450
American Samoa,ASM,2021-02-06,29450
American Samoa,ASM,2021-02-07,29450
American Samoa,ASM,2021-02-08,29450
American Samoa,ASM,2021-02-09,29450
American Samoa,ASM,2021-02-10,29450
American Samoa,ASM,2021-02-11,29450
American Samoa,ASM,2021-02-12,29450
American Samoa,ASM,2021-02-13,29450
American Samoa,ASM,2021-02-14,29450
American Samoa,ASM,2021-02-16,29450
American Samoa,ASM,2021-02-17,29450
American Samoa,ASM,2021-02-18,29450
American Samoa,ASM,2021-02-19,29450
American Samoa,ASM,2021-02-20,29450
American Samoa,ASM,2021-02-21,29450
American Samoa,ASM,2021-02-22,29450
American Samoa,ASM,2021-02-23,29450
American Samoa,ASM,2021-02-24,29450
American Samoa,ASM,2021-02-25,29450
American Samoa,ASM,2021-02-26,29450
American Samoa,ASM,2021-02-27,29450
American Samoa,ASM,2021-02-28,29450
American Samoa,ASM,2021-03-01,29450
American Samoa,ASM,2021-03-02,29450
American Samoa,ASM,2021-03-03,29450
American Samoa,ASM,2021-03-04,38810
Arizona,,2021-01-12,563025
Arizona,,2021-01-13,569525
Arizona,,2021-01-14,570625
Arizona,,2021-01-15,571725
Arizona,,2021-01-19,571725
Arizona,,2021-01-20,752250
Arizona,,2021-01-21,797550
Arizona,,2021-01-22,822050
Arizona,,2021-01-23,829500
Arizona,,2021-01-24,829500
Arizona,,2021-01-25,829500
Arizona,,2021-01-26,837200
Arizona,,2021-01-27,990000
Arizona,,2021-01-28,1011375
Arizona,,2021-01-29,1012275
Arizona,,2021-01-30,1013375
Arizona,,2021-01-31,1013375
Arizona,,2021-02-01,1013375
Arizona,,2021-02-02,1082050
Arizona,,2021-02-03,1181000
Arizona,,2021-02-04,1185700
Arizona,,2021-02-05,1186000
Arizona,,2021-02-06,1186000
Arizona,,2021-02-07,1186000
Arizona,,2021-02-08,1186000
Arizona,,2021-02-09,1265950
Arizona,,2021-02-10,1370175
Arizona,,2021-02-11,1391475
Arizona,,2021-02-12,1393475
Arizona,,2021-02-13,1393475
Arizona,,2021-02-14,1393575
Arizona,,2021-02-16,1396475
Arizona,,2021-02-17,1396475
Arizona,,2021-02-18,1396475
Arizona,,2021-02-19,1679175
Arizona,,2021-02-20,1688255
Arizona,,2021-02-21,1688255
Arizona,,2021-02-22,1688255
Arizona,,2021-02-23,1755635
Arizona,,2021-02-24,1977925
Arizona,,2021-02-25,2064265
Arizona,,2021-02-26,2143135
Arizona,,2021-02-27,2148015
Arizona,,2021-02-28,2148015
Arizona,,2021-03-01,2148015
Arizona,,2021-03-02,2244885
Arizona,,2021-03-03,2392275
Arizona,,2021-03-04,2453985
Arkansas,,2021-01-12,274400
Arkansas,,2021-01-13,297800
Arkansas,,2021-01-14,297800
Arkansas,,2021-01-15,297800
Arkansas,,2021-01-19,297800
Arkansas,,2021-01-20,334825
Arkansas,,2021-01-21,361550
Arkansas,,2021-01-22,362050
Arkansas,,2021-01-23,368650
Arkansas,,2021-01-24,368650
Arkansas,,2021-01-25,368650
Arkansas,,2021-01-26,394775
Arkansas,,2021-01-27,406175
Arkansas,,2021-01-28,453300
Arkansas,,2021-01-29,453500
Arkansas,,2021-01-30,453700
Arkansas,,2021-01-31,453700
Arkansas,,2021-02-01,453700
Arkansas,,2021-02-02,467800
Arkansas,,2021-02-03,499325
Arkansas,,2021-02-04,516925
Arkansas,,2021-02-05,535550
Arkansas,,2021-02-06,540050
Arkansas,,2021-02-07,540050
Arkansas,,2021-02-08,540050
Arkansas,,2021-02-09,580775
Arkansas,,2021-02-10,581875
Arkansas,,2021-02-11,593775
Arkansas,,2021-02-12,629900
Arkansas,,2021-02-13,630700
Arkansas,,2021-02-14,630700
Arkansas,,2021-02-16,631675
Arkansas,,2021-02-17,649225
Arkansas,,2021-02-18,664225
Arkansas,,2021-02-19,691525
Arkansas,,2021-02-20,691525
Arkansas,,2021-02-21,691525
Arkansas,,2021-02-22,691525
Arkansas,,2021-02-23,794230
Arkansas,,2021-02-24,816730
Arkansas,,2021-02-25,826130
Arkansas,,2021-02-26,861230
